,날짜,credit_spread,kospi,exchange,fin_index
72,2010-01-01,4.2761955223256765,1.2410196497881836,1.8771192420217544,2.464778138045205
73,2010-02-01,3.3088172541077663,1.6533129415828771,2.919302887640738,2.6271443611104606
74,2010-03-01,2.095755616183717,1.3272206197361176,2.05220710196133,1.8250611126270548
75,2010-04-01,1.5276128237382756,0.8451637397312198,1.5403801009499074,1.3043855548064676
76,2010-05-01,0.8366283464397672,0.4607374208391724,0.5662105836806647,0.6211921169865348
77,2010-06-01,0.3299063964208607,0.6484747357962277,0.5222948796293765,0.500225337282155
78,2010-07-01,0.6677210297667994,0.2651746438363464,0.4410706520256919,0.45798877520961256
79,2010-08-01,0.5602345555203648,0.111336925022019,0.5220685342846123,0.39788000494233206
80,2010-09-01,0.375972028240761,0.2198923956353538,0.4216897450953853,0.33918472299050006
81,2010-10-01,0.3606168176341285,0.5246468243329186,0.6480357288010422,0.5110997902560298
82,2010-11-01,0.4834585024871948,0.6590445406720936,0.1618522728336835,0.43478510533099063
83,2010-12-01,0.2838407646009597,0.6368138187852345,0.5081301531833368,0.4762615788565103
84,2011-01-01,0.4527480812739304,0.920858109046811,0.4571281958213128,0.6102447953806848
85,2011-02-01,0.5295241343070971,0.626190909421523,0.4181795968046118,0.5246315468444106
86,2011-03-01,0.422037660060662,0.7387718462067675,0.4437140837231871,0.5348411966635389
87,2011-04-01,0.1763542903545266,0.7950222305984871,0.4813938717928178,0.48425679758194384
88,2011-05-01,-0.0079082369250764,0.9727810579135248,1.2046545696330329,0.7231757968738272
89,2011-06-01,0.2224199221744262,0.7090739172422613,1.4902666475769717,0.8072534956645531
90,2011-07-01,0.32990639642086,0.6113945808304129,1.2678558688984665,0.7363856153832464
91,2011-08-01,0.3452616070274939,0.0393523116781508,1.3016930081742384,0.562102308959961
92,2011-09-01,0.207064711567793,-0.6095405011433536,-0.246807045509264,-0.2164276116949415
93,2011-10-01,0.0995782373213579,-0.264765767428421,0.220279153865289,0.0183638745860753
94,2011-11-01,-0.100039500564877,-0.4812094042628808,0.2550026074923769,-0.10874876577846031
95,2011-12-01,0.053512605501457,-0.9017774774117412,-0.2298917406014859,-0.3593855375039234
