,date,price,kospi_log_yoy,kospi_log_yoy_z
75,1988-08-01,664.43,0.33770111172277417,0.9208218112391513
76,1988-09-01,677.54,0.3335983114431995,0.9064483894863251
77,1988-10-01,729.79,0.36021057797104916,0.99967967166881
78,1988-11-01,831.12,0.5582180502390299,1.6933631841925487
79,1988-12-01,907.2,0.5467551685193879,1.6532050428666303
80,1989-01-01,884.29,0.3333987887927954,0.9057493978201264
81,1989-02-01,917.9,0.4047844377577485,1.1558361604589467
82,1989-03-01,1003.31,0.42418281716910045,1.2237948885473653
83,1989-04-01,940.54,0.37382971548731625,1.0473918667774977
84,1989-05-01,932.76,0.2625840664857302,0.6576627738876937
85,1989-06-01,854.61,0.1955301827230551,0.4227515703655394
86,1989-07-01,895.66,0.2168107885405881,0.49730433962750287
87,1989-08-01,975.28,0.3837950790151661,1.0823037228625
88,1989-09-01,942.41,0.3299718324450218,0.8937436735443688
89,1989-10-01,894.02,0.20297132476367885,0.4488202711514473
90,1989-11-01,906.33,0.08662928937259284,0.04123690654475619
91,1989-12-01,909.72,0.002773926882725597,-0.2525352512917784
92,1990-01-01,896.16,0.01333390532328238,-0.21554026896653342
93,1990-02-01,861.59,-0.06330893276405458,-0.48404464673192443
94,1990-03-01,840.89,-0.1765989582427503,-0.8809358443611043
95,1990-04-01,688.66,-0.3117064979830255,-1.3542607732740535
96,1990-05-01,797.95,-0.1561019941849331,-0.8091284228489684
97,1990-06-01,706.79,-0.1899116324506842,-0.9275744004714795
98,1990-07-01,678.38,-0.27785327376338476,-1.2356621001131136
99,1990-08-01,606.87,-0.4744100091741812,-1.924263217375136
100,1990-09-01,602.88,-0.446722252098513,-1.827264147783663
101,1990-10-01,690.16,-0.25880469151960916,-1.1689288233932515
102,1990-11-01,697.03,-0.2625750266937219,-1.1821375135351602
103,1990-12-01,696.11,-0.2676291660327319,-1.1998437803205062
104,1991-01-01,635.4,-0.34386424662610615,-1.4669196531540878
105,1991-02-01,675.57,-0.24322274048663228,-1.1143402646852265
106,1991-03-01,659.85,-0.2424483182848487,-1.1116272159959197
107,1991-04-01,645.61,-0.06455207411956643,-0.48839976854716527
108,1991-05-01,611.35,-0.26637631225499714,-1.1954546327834805
109,1991-06-01,605.27,-0.15505895260270908,-0.8054743145459936
110,1991-07-01,717.03,0.05541007781745311,-0.06813397770390356
111,1991-08-01,683.11,0.11834130069301718,0.1523342260043601
112,1991-09-01,705.08,0.15659309960380874,0.28634251329201343
113,1991-10-01,695.94,0.008339994953516339,-0.2330355344070196
114,1991-11-01,652.11,-0.06661519208826316,-0.4956275307264607
115,1991-12-01,610.92,-0.13054167612123635,-0.7195824526259228
116,1992-01-01,680.51,0.06858779522528202,-0.021968218433281457
117,1992-02-01,612.5,-0.0980078365554764,-0.605606005942554
118,1992-03-01,606.32,-0.08460463695906473,-0.5586503104397479
119,1992-04-01,615.97,-0.04699734525406907,-0.4268999380542064
120,1992-05-01,574.2,-0.06269185890323481,-0.48188283961244
121,1992-06-01,552.03,-0.09207224684244153,-0.584811736545158
122,1992-07-01,509.95,-0.3408049990319668,-1.4562021302622734
123,1992-08-01,562.8,-0.1937315755354927,-0.9409568829927678
124,1992-09-01,513.82,-0.31643826198154823,-1.3708376561226276
125,1992-10-01,615.58,-0.12269853691386245,-0.6921054271770021
126,1992-11-01,663.36,0.017104569894530464,-0.2023304248410945
127,1992-12-01,678.44,0.10483002730139379,0.1049999134270794
128,1993-01-01,670.56,-0.014729332883936408,-0.3138547690679615
129,1993-02-01,642.96,0.04853357148558146,-0.09222457899054912
130,1993-03-01,666.75,0.0950072635583501,0.07058763000201983
131,1993-04-01,721.57,0.1582311325559287,0.29208106668518224
132,1993-05-01,752.31,0.2701707053603206,0.6842411966234404
133,1993-06-01,748.87,0.3049630110737187,0.8061297726434703
134,1993-07-01,729.94,0.3586496572871587,0.9942112672173524
135,1993-08-01,664.88,0.16668224800453668,0.3216880273820994
136,1993-09-01,718.87,0.3358075251274064,0.914187971689072
137,1993-10-01,750.72,0.19846783321707928,0.43304309972006727
138,1993-11-01,811.06,0.20102420486877204,0.4419988873292458
139,1993-12-01,866.18,0.24429669415451727,0.5935962589817481
140,1994-01-01,945.71,0.34382278396665633,0.9422679872648121
