,date,국고채(3년),"회사채(3년, AA-)",spread_pp,spread_z
40,2007-05-01,5.1,5.49,0.39000000000000057,-0.6081449254385917
41,2007-06-01,5.24,5.64,0.39999999999999947,-0.5888535279785778
42,2007-07-01,5.35,5.75,0.40000000000000036,-0.5888535279785762
43,2007-08-01,5.28,5.7,0.41999999999999993,-0.5502707330585451
44,2007-09-01,5.39,5.85,0.45999999999999996,-0.47310514321848135
45,2007-10-01,5.42,5.98,0.5600000000000005,-0.28019116861832105
46,2007-11-01,5.54,6.16,0.6200000000000001,-0.16444278385822628
47,2007-12-01,5.89,6.73,0.8400000000000007,0.2599679602621253
48,2008-01-01,5.44,6.64,1.1999999999999993,0.9544582688226958
49,2008-02-01,5.06,6.27,1.21,0.973749666282713
50,2008-03-01,5.15,6.13,0.9799999999999995,0.530047524702346
51,2008-04-01,4.98,5.91,0.9299999999999997,0.4335905374022666
52,2008-05-01,5.28,6.22,0.9399999999999995,0.4528819348622821
53,2008-06-01,5.7,6.68,0.9799999999999995,0.530047524702346
54,2008-07-01,5.96,6.99,1.0300000000000002,0.6265045120024268
55,2008-08-01,5.77,7.11,1.3400000000000007,1.2245378332629215
56,2008-09-01,5.81,7.46,1.6500000000000004,1.8225711545234144
57,2008-10-01,5.09,7.95,2.8600000000000003,4.156830247185341
58,2008-11-01,4.97,8.56,3.5900000000000007,5.565102261766504
59,2008-12-01,3.97,8.35,4.379999999999999,7.0891226611077585
60,2009-01-01,3.44,7.34,3.9,6.163135583026997
61,2009-02-01,3.78,7.07,3.2900000000000005,4.986360337966027
62,2009-03-01,3.69,6.14,2.4499999999999997,3.365882951324687
63,2009-04-01,3.76,5.68,1.92,2.3434388859438435
64,2009-05-01,3.83,5.16,1.33,1.2052464358029042
65,2009-06-01,4.09,5.21,1.12,0.8001270891425699
66,2009-07-01,4.09,5.46,1.37,1.282412025642968
67,2009-08-01,4.42,5.74,1.3200000000000003,1.1859550383428887
68,2009-09-01,4.4,5.58,1.1799999999999997,0.9158754739026648
69,2009-10-01,4.47,5.6,1.13,0.8194184866025854
70,2009-11-01,4.32,5.43,1.1099999999999994,0.7808356916825527
