,date,interest,kospi,exchange,fin_index
58,2015-11-01,-0.6544442793426312,-0.2425176293355203,0.2244375374695336,-0.22417479040287266
59,2015-12-01,-0.5425541740745392,-0.1796205802586347,0.4987560654238592,-0.0744728963031049
60,2016-01-01,-0.4673177239804759,-0.3297573385136249,0.6698598486694489,-0.042405071274883945
61,2016-02-01,-0.4422389072824558,-0.3864030404410239,0.8959495534344997,0.022435868570340006
62,2016-03-01,-0.4325932085524476,-0.3406734700574264,0.1394738969775869,-0.21126426054409567
63,2016-04-01,-0.4499554662664622,-0.4884785557378669,0.3959041834533642,-0.1808432795169883
64,2016-05-01,-0.4827508419484895,-0.4869831222959039,0.4457918296313355,-0.17464737820435264
65,2016-06-01,-0.4827508419484895,-0.442198935851983,0.1057357777758516,-0.27307133334154027
66,2016-07-01,-0.5271210561065259,-0.2864436838244921,-0.5721959496779186,-0.4619202298696455
67,2016-08-01,-0.5753495497565656,-0.0980592779234957,-0.659334662090748,-0.44424782992360307
68,2016-09-01,-0.6042866459465898,-0.1208924316239249,-0.7943245015714887,-0.5065011930473345
69,2016-10-01,-0.5502707330585451,-0.2991811960062647,-0.1322600042304239,-0.32723731109841125
70,2016-11-01,-0.5657038510265578,-0.2772166581303083,-0.0168292068623087,-0.2865832386730583
71,2016-12-01,-0.4538137457584654,-0.1477723794634201,0.089124657535481,-0.17082048922880147
72,2017-01-01,-0.4711760034724795,0.0116812198916608,-0.5701303790494103,-0.3432083875434097
73,2017-02-01,-0.4634594444884736,0.0438120919453943,-0.9000068893792921,-0.43988474730745714
74,2017-03-01,-0.3978686931244189,0.0150159003710689,-0.3592680847461998,-0.24737362583318326
75,2017-04-01,-0.3631441776963907,0.0905631308697231,-0.1987202087645654,-0.15710041853041098
76,2017-05-01,-0.3457819199823757,0.3280115926507084,-0.6818659972710261,-0.2332121082008978
77,2017-06-01,-0.3284196622683615,0.4167982560278443,-0.1952755527229842,-0.035632319654500456
78,2017-07-01,-0.322632243030357,0.3521859234454602,-0.0846189604298223,-0.0183550933382397
79,2017-08-01,-0.3187739635383542,0.2621537981449245,-0.0765486776889357,-0.044389614360788456
80,2017-09-01,-0.3033408455703406,0.2927927349770451,0.1989204468052056,0.06279077873730338
81,2017-10-01,-0.3033408455703411,0.5378534445674488,-0.3357268783452115,-0.033738093116034595
82,2017-11-01,-0.2821203083643233,0.5152767627857425,-0.8456505167774845,-0.20416468745202176
83,2017-12-01,-0.3014117058243397,0.427589054231565,-1.2397025086946476,-0.37117505342914076
84,2018-01-01,-0.3342070815063666,0.4950016925021717,-0.7978392916981797,-0.21234822690079155
85,2018-02-01,-0.3226322430303574,0.2592362769648191,-0.5621589080479762,-0.2085182913711715
86,2018-03-01,-0.2801911686183219,0.1727820971455279,-0.605018543083313,-0.23747587151870234
87,2018-04-01,-0.1991672992862554,0.198422323678076,-0.6887056663193734,-0.2298168806425176
88,2018-05-01,-0.1837341813182426,-0.1511602815397897,-0.4602959852148286,-0.26506348269095364
89,2018-06-01,-0.1451513863982099,-0.3597719566740179,-0.3846706064159403,-0.296531316496056
90,2018-07-01,-0.1007811722401738,-0.4225340828963483,-0.1934838114827228,-0.238933022206415
91,2018-08-01,-0.1316474081761993,-0.3225264429903938,-0.2110713817397823,-0.2217484109687918
92,2018-09-01,-0.4923965406784973,-0.3382748137556864,-0.4149887033773788,-0.4152200192705209
