,date,price,exchange_log_yoy,exchange_log_yoy_z
178,1997-03-01,895.5,0.13520783895177502,-1.0569283823036073
179,1997-04-01,892.0,0.13641832325829206,-1.0676843762107469
180,1997-05-01,892.25,0.12431172630218867,-0.9601088526000996
181,1997-06-01,888.0,0.09045711015525093,-0.659287071562095
182,1997-07-01,890.0,0.09061336197365932,-0.6606754775065024
183,1997-08-01,902.5,0.09677940262811191,-0.7154650318637137
184,1997-09-01,915.0,0.1023292917545433,-0.7647796518945648
185,1997-10-01,965.0,0.15523071017308965,-1.2348455016750908
186,1997-11-01,1169.5,0.344171746338759,-2.913717852902852
187,1997-12-01,1695.0,0.6961013924573765,-6.040857221016859
188,1998-01-01,1524.0,0.5663642293147131,-4.888052406630436
189,1998-02-01,1633.0,0.6366013241664099,-5.512157783472343
190,1998-03-01,1385.0,0.43607319712067216,-3.7303260809861674
191,1998-04-01,1336.5,0.4043434029989639,-3.448384819616265
192,1998-05-01,1407.5,0.4558239976435763,-3.9058256632126755
193,1998-06-01,1373.0,0.4357816627758009,-3.7277355958222747
194,1998-07-01,1230.5,0.3239544071049254,-2.7340727501560154
195,1998-08-01,1350.0,0.4026911812254399,-3.4337036814688395
196,1998-09-01,1390.75,0.41867438367988186,-3.575725537754785
197,1998-10-01,1319.5,0.31288005460439283,-2.635669435565363
198,1998-11-01,1246.0,0.06336211332316477,-0.41852920359895424
199,1998-12-01,1203.0,-0.342864303839872,3.1910746916360435
200,1999-01-01,1175.0,-0.26007030966833256,2.455392541886267
201,1999-02-01,1223.5,-0.28870321008773914,2.7098157515030987
202,1999-03-01,1227.0,-0.12112797391052776,1.220793374587071
203,1999-04-01,1188.5,-0.1173622487787247,1.18733229098973
204,1999-05-01,1186.35,-0.17093371438031024,1.6633519754292139
205,1999-06-01,1157.5,-0.17073561980758178,1.6615917675472667
206,1999-07-01,1203.5,-0.02218661260798438,0.34163065136570525
207,1999-08-01,1180.5,-0.13416651490690779,1.336649868355731
