date,credit_spread
2019-03-01,0.4550000000000003
2019-04-01,0.47099999999999986
2019-05-01,0.474
2019-06-01,0.508
2019-07-01,0.5030000000000001
2019-08-01,0.5250000000000001
2019-09-01,0.5050000000000001
2019-10-01,0.504
2019-11-01,0.5099999999999998
2019-12-01,0.558
2020-01-01,0.5820000000000001
2020-02-01,0.5940000000000001
2020-03-01,0.7490000000000001
2020-04-01,1.121
2020-05-01,1.3009999999999997
2020-06-01,1.3679999999999999
2020-07-01,1.3929999999999998
2020-08-01,1.3630000000000002
2020-09-01,1.331
2020-10-01,1.3289999999999997
2020-11-01,1.282
2020-12-01,1.2409999999999999
2021-01-01,1.1679999999999997
2021-02-01,1.06
2021-03-01,0.9580000000000002
2021-04-01,0.8450000000000002
2021-05-01,0.7570000000000001
2021-06-01,0.611
