date,card_spending,log_val,12m_log_return,z_score
2011-02-01,419674.0,12.947233498391565,0.11989374345528958,0.2854408684281914
2011-03-01,495685.0,13.113695923312768,0.1044519731114466,0.0336599309932067
2011-04-01,485966.0,13.09389394158766,0.12200002800811838,0.31978422980498555
2011-05-01,530807.0,13.18215376899453,0.16519979733201673,1.0241645032548565
2011-06-01,514732.0,13.151401655847348,0.12259759190875918,0.32952762034444133
2011-07-01,519489.0,13.160600915091274,0.10213199960852215,-0.004167668458403451
2011-08-01,566573.0,13.24736121257811,0.1429601967980112,0.6615436802567884
2011-09-01,519400.0,13.160429578210785,0.12929372599836952,0.43870933207380164
2011-10-01,528355.0,13.177523685248266,0.1496094584403238,0.7699611280152628
2011-11-01,522948.0,13.167237311717695,0.07722565311793872,-0.4102702802602958
2011-12-01,534344.0,13.188795105294512,0.09019791974079538,-0.19875506029319412
2012-01-01,529271.0,13.179255867000672,0.12868069295701012,0.42871371431786004
2012-02-01,504416.0,13.13115660342627,0.18392310503470455,1.329451517651238
2012-03-01,548038.0,13.214099906591727,0.10040398327895872,-0.03234329610163674
2012-04-01,559825.0,13.235379513873031,0.1414855722853705,0.6374996533162298
2012-05-01,607376.0,13.316903318136156,0.13474954914162574,0.5276675431403359
2012-06-01,575190.0,13.262455699980547,0.11105404413319953,0.1413079269065826
2012-07-01,619442.0,13.33657435177811,0.17597343668683507,1.1998306966990677
2012-08-01,615760.0,13.3306125562082,0.08325134363009035,-0.31202027575562724
2012-09-01,580947.0,13.272414809642084,0.11198523143129968,0.15649110899144572
2012-10-01,605883.0,13.314442177104242,0.13691849185597604,0.5630325574943827
2012-11-01,584496.0,13.278505216414898,0.11126790469720227,0.1447949631780717
2012-12-01,593725.0,13.294171528181378,0.10537642288686655,0.048733256517672977
2013-01-01,589725.0,13.287411605527826,0.1081557385271541,0.09405051495095446
2013-02-01,526809.0,13.174593332987788,0.04343672956151856,-0.9612049631703173
2013-03-01,590684.0,13.289036466420947,0.07493655982922043,-0.4475943720759359
2013-04-01,615989.0,13.330984385213359,0.09560487134032769,-0.11059370883658179
2013-05-01,649176.0,13.383459145362508,0.06655582722635245,-0.5842437758784859
2013-06-01,621711.0,13.340230633522166,0.0777749335416189,-0.4013141607928135
2013-07-01,678866.0,13.428179038022238,0.09160468624412843,-0.17581747081514848
2013-08-01,670043.0,13.415097168412236,0.08448461220403658,-0.29191160228470625
2013-09-01,636531.0,13.363788399642779,0.09137359000069445,-0.1795855380453875
2013-10-01,661965.0,13.402967963430838,0.08852578632659558,-0.22601950660789122
2013-11-01,629027.0,13.351929460039534,0.07342424362463618,-0.47225296906382364
2013-12-01,663204.0,13.404837914148121,0.11066638596674316,0.13498708840287904
2014-01-01,623905.0,13.343753392171589,0.056341786643763214,-0.7507856072630393
2014-02-01,580486.0,13.271620962688864,0.09702762970107592,-0.0873953691490935
2014-03-01,660395.0,13.40059341983046,0.11155695340951333,0.1495079561917951
2014-04-01,651203.0,13.386576700539463,0.05559231532610376,-0.7630058764898882
2014-05-01,693230.0,13.449117113440517,0.06565796807800872,-0.5988835362829461
2014-06-01,692039.0,13.447397591393235,0.107166957871069,0.07792826245249335
2014-07-01,728506.0,13.498751140685059,0.07057210266282077,-0.5187576579092276
