날짜,Retail_Index,log_index,12m_log_return,z_score
2010-08-01,74.3,4.308110951723713,0.0900749171590629,1.8491466340695624
2010-09-01,79.3,4.373238128640803,0.05175799383495505,0.7677707016661262
2010-10-01,80.3,4.385769620952716,0.04326374444111725,0.5280469435597582
2010-11-01,81.3,4.398146016553765,0.06478455386116444,1.1354048244582513
2010-12-01,84.2,4.4331949212482815,0.03874576657584239,0.4005410766269141
2011-01-01,81.3,4.398146016553765,0.10358540766115976,2.230438188726839
2011-02-01,71.5,4.269697449699962,-0.008356594590941846,-0.9287765017781273
2011-03-01,80.2,4.384523514872469,0.05379017458613777,0.8251226799560923
2011-04-01,79.3,4.373238128640803,0.06109762143108721,1.0313526290207655
2011-05-01,82.9,4.417635062141249,0.06477980476764778,1.1352707960712063
2011-06-01,80.9,4.393213824064446,0.059852361371845575,0.996209038647998
