"날짜","종가","시가","고가","저가","거래량","변동 %"
"2012- 10- 01","1,089.92","1,113.27","1,117.53","1,089.55","","-2.08%"
"2012- 09- 01","1,113.07","1,133.79","1,136.86","1,110.47","","-1.78%"
"2012- 08- 01","1,133.19","1,130.67","1,138.10","1,123.90","","0.26%"
"2012- 07- 01","1,130.27","1,141.30","1,157.20","1,129.85","","-0.92%"
"2012- 06- 01","1,140.72","1,180.47","1,184.04","1,140.51","","-3.32%"
"2012- 05- 01","1,179.87","1,128.80","1,186.38","1,125.28","","4.45%"
"2012- 04- 01","1,129.55","1,135.82","1,147.40","1,121.45","","-0.16%"
"2012- 03- 01","1,131.40","1,118.80","1,142.10","1,111.65","","1.13%"
"2012- 02- 01","1,118.80","1,125.45","1,135.00","1,114.50","","-0.59%"
"2012- 01- 01","1,125.45","1,158.50","1,166.70","1,120.05","","-2.85%"
"2011- 12- 01","1,158.50","1,140.05","1,180.00","1,122.60","","1.62%"
"2011- 11- 01","1,140.05","1,111.85","1,164.95","1,109.95","","2.54%"
"2011- 10- 01","1,111.85","1,180.00","1,208.25","1,100.00","","-5.85%"
"2011- 09- 01","1,180.90","1,066.40","1,198.70","1,060.20","","10.89%"
"2011- 08- 01","1,064.90","1,051.80","1,096.50","1,048.20","","1.03%"
"2011- 07- 01","1,054.00","1,066.80","1,069.00","1,048.57","","-1.15%"
"2011- 06- 01","1,066.30","1,076.90","1,092.10","1,066.40","","-1.09%"
"2011- 05- 01","1,078.00","1,069.80","1,101.90","1,064.00","","0.94%"
"2011- 04- 01","1,068.00","1,098.00","1,099.15","1,068.50","","-2.51%"
"2011- 03- 01","1,095.50","1,124.65","1,144.95","1,094.10","","-2.59%"
"2011- 02- 01","1,124.65","1,119.00","1,136.43","1,099.95","","0.48%"
"2011- 01- 01","1,119.25","1,120.50","1,132.38","1,108.10","","-0.11%"
"2010- 12- 01","1,120.50","1,157.00","1,173.10","1,119.50","","-3.15%"
"2010- 11- 01","1,157.00","1,120.30","1,171.90","1,103.95","","2.89%"
"2010- 10- 01","1,124.50","1,139.00","1,143.40","1,107.40","","-1.38%"
"2010- 09- 01","1,140.25","1,198.15","1,199.15","1,138.15","","-4.90%"
"2010- 08- 01","1,199.00","1,181.60","1,201.20","1,156.40","","1.37%"
"2010- 07- 01","1,182.75","1,226.65","1,239.45","1,180.95","","-3.31%"
"2010- 06- 01","1,223.25","1,204.15","1,272.55","1,170.05","","1.76%"
"2010- 05- 01","1,202.12","1,108.90","1,276.90","1,107.81","","8.45%"
"2010- 04- 01","1,108.50","1,130.40","1,131.40","1,103.00","","-2.15%"
"2010- 03- 01","1,132.80","1,158.00","1,160.80","1,126.80","","-2.34%"
"2010- 02- 01","1,160.00","1,160.30","1,177.90","1,140.80","","0.09%"
"2010- 01- 01","1,158.90","1,163.27","1,166.70","1,115.10","","-0.62%"
"2009- 12- 01","1,166.08","1,164.83","1,189.62","1,150.42","","0.23%"
"2009- 11- 01","1,163.40","1,186.40","1,195.80","1,149.00","","-1.96%"
"2009- 10- 01","1,186.60","1,175.50","1,206.00","1,149.80","","0.86%"
"2009- 09- 01","1,176.50","1,249.50","1,254.70","1,174.60","","-5.84%"
"2009- 08- 01","1,249.50","1,228.50","1,266.40","1,214.50","","2.19%"
"2009- 07- 01","1,222.70","1,271.40","1,316.50","1,222.70","","-4.09%"
"2009- 06- 01","1,274.80","1,260.30","1,294.50","1,226.20","","1.32%"
"2009- 05- 01","1,258.25","1,278.25","1,293.15","1,228.75","","-1.55%"
"2009- 04- 01","1,278.00","1,369.00","1,392.30","1,278.00","","-6.99%"
"2009- 03- 01","1,374.05","1,536.65","1,598.65","1,306.55","","-10.39%"
"2009- 02- 01","1,533.45","1,385.65","1,543.65","1,366.45","","11.00%"
"2009- 01- 01","1,381.50","1,322.50","1,399.90","1,283.40","","9.38%"
"2008- 12- 01","1,263.00","1,468.50","1,493.30","1,246.00","","-14.02%"
"2008- 11- 01","1,469.00","1,313.90","1,525.90","1,245.90","","14.54%"
"2008- 10- 01","1,282.50","1,192.90","1,501.90","1,187.80","","6.26%"
"2008- 09- 01","1,206.95","1,085.55","1,227.55","1,076.55","","10.81%"
"2008- 08- 01","1,089.25","1,012.25","1,092.35","1,009.25","","7.61%"
"2008- 07- 01","1,012.25","1,046.00","1,057.15","995.50","","-3.69%"
"2008- 06- 01","1,051.00","1,025.75","1,051.00","1,010.25","","2.21%"
"2008- 05- 01","1,028.25","1,004.15","1,057.45","999.85","","2.52%"
"2008- 04- 01","1,003.00","990.15","1,006.50","971.15","","1.28%"
"2008- 03- 01","990.35","943.25","1,031.25","943.15","","5.46%"
"2008- 02- 01","939.05","943.85","949.95","935.25","","-0.51%"
