,재별 및 상품군별,date,value,retail_log_yoy,retail_log_yoy_z
69,총지수,2001-09-01,59.9,0.12616531440918743,1.5261421273735516
70,총지수,2001-11-01,60.7,0.11141947112556272,1.2931872647833276
71,총지수,2001-12-01,62.5,0.12965320822687154,1.5812438810949003
72,총지수,2002-01-01,59.6,0.09129142020940728,0.9752042749200697
73,총지수,2002-01-01,64.8,0.10398971352404729,1.1758119388796706
74,총지수,2002-02-01,58.0,0.1665839757459442,2.164676222486386
75,총지수,2002-03-01,63.7,0.14503484641924835,1.8242430329641504
76,총지수,2002-04-01,63.4,0.12589948128212658,1.521942495084284
77,총지수,2002-05-01,64.0,0.10016569878072179,1.1154001460821952
78,총지수,2002-06-01,59.9,0.0799035965931143,0.7952994139562186
79,총지수,2002-07-01,61.9,0.10554003275731194,1.2003038853224497
80,총지수,2002-08-01,60.7,0.1281329520993033,1.5572268716578823
81,총지수,2002-09-01,64.1,0.06776785880522063,0.6035790033677488
82,총지수,2002-11-01,64.6,0.06227071272310347,0.5167350782312268
83,총지수,2002-12-01,65.2,0.04229291219025111,0.20112574423310128
84,총지수,2003-01-01,64.3,0.07590405717227,0.7321146819414931
85,총지수,2003-01-01,62.5,-0.03613904661587242,-1.0379425026573779
86,총지수,2003-02-01,54.9,-0.05492966203093452,-1.3347966837175151
87,총지수,2003-03-01,60.4,-0.05319545763734812,-1.3073997191329316
88,총지수,2003-04-01,60.0,-0.05511929922107939,-1.3377925724383217
89,총지수,2003-05-01,61.9,-0.0333629036691212,-0.9940849906621549
90,총지수,2003-06-01,58.0,-0.032233494574984256,-0.9762425834649352
91,총지수,2003-07-01,59.1,-0.0462892552784977,-1.1982955200320982
92,총지수,2003-08-01,57.1,-0.06113958140348785,-1.4329010027655833
93,총지수,2003-09-01,62.1,-0.03169837498719108,-0.9677887631139397
94,총지수,2003-11-01,62.5,-0.03304785404619981,-0.9891078360698328
95,총지수,2003-12-01,63.5,-0.026419563033961424,-0.8843940809956332
96,총지수,2004-01-01,63.2,-0.0172553300907623,-0.7396175100687935
97,총지수,2004-01-01,62.4,-0.0016012813669741277,-0.4923148160627885
98,총지수,2004-02-01,56.7,0.03226086221822211,0.04263939809598096
99,총지수,2004-03-01,60.6,0.0033057881344999984,-0.41479292196358647
100,총지수,2004-04-01,60.7,0.011599135843352038,-0.2837745977641126
101,총지수,2004-05-01,61.7,-0.0032362487792081396,-0.5181440346114102
102,총지수,2004-06-01,60.5,0.042200354490376846,0.19966351749969902
103,총지수,2004-07-01,59.9,0.013445580709350757,-0.2546044579649988
104,총지수,2004-08-01,56.5,-0.01056347850956918,-0.6338996249952299
105,총지수,2004-09-01,63.1,0.01597478060773483,-0.21464815275690224
106,총지수,2004-11-01,62.9,0.006379606964038942,-0.3662327257584854
107,총지수,2004-12-01,65.9,0.037098535609815464,0.11906497230824077
108,총지수,2005-01-01,60.9,-0.03707112643696053,-1.0526675015922187
109,총지수,2005-01-01,65.1,0.04235927383914184,0.20217412569906795
110,총지수,2005-02-01,59.2,0.0431473311562538,0.2146238568192206
111,총지수,2005-03-01,63.7,0.04988966950284812,0.3211393319166605
112,총지수,2005-04-01,62.4,0.027621577309929535,-0.030652034448156076
113,총지수,2005-05-01,63.7,0.03190063166677515,0.036948475101680735
114,총지수,2005-06-01,62.6,0.03412191306925649,0.07204028327679544
115,총지수,2005-07-01,61.8,0.031226859342242008,0.02630421852986323
116,총지수,2005-08-01,59.9,0.05843586696900793,0.4561521771032802
117,총지수,2005-09-01,63.9,0.01259859183632095,-0.267985189927017
118,총지수,2005-11-01,67.7,0.07354001621183404,0.6947675579755419
119,총지수,2005-12-01,73.6,0.1105065842263695,1.2787654756681446
120,총지수,2006-01-01,67.4,0.10141184320240981,1.1350867382246927
121,총지수,2006-01-01,67.7,0.039161630703705264,0.15165775285415772
122,총지수,2006-02-01,59.8,0.010084119066625874,-0.30770883592572784
123,총지수,2006-03-01,66.1,0.036984184279523546,0.11725844975657733
124,총지수,2006-04-01,65.4,0.046956983087770965,0.2748087458861421
125,총지수,2006-05-01,67.2,0.053488684950986354,0.3779965853849779
126,총지수,2006-06-01,65.8,0.04985456022521895,0.3205846754763042
127,총지수,2006-07-01,61.4,-0.006493529310549029,-0.569602559159747
128,총지수,2006-08-01,62.4,0.040888770253978635,0.17894310702951913
129,총지수,2006-09-01,67.3,0.051840875267193276,0.3519644846037943
130,총지수,2006-11-01,69.7,0.029114137848249122,-0.007072559987176893
131,총지수,2006-12-01,74.9,0.01750886478834346,-0.1904126877094483
132,총지수,2007-01-01,67.6,0.0029629651306573024,-0.42020884048495244
133,총지수,2007-01-01,72.3,0.06573794924648979,0.5715104879746783
134,총지수,2007-02-01,66.1,0.1001630859010545,1.1153588678038253
135,총지수,2007-03-01,70.3,0.061603051958978305,0.5061873721033322
136,총지수,2007-04-01,67.9,0.03751377610149742,0.12562494245176511
137,총지수,2007-05-01,70.9,0.05359718600897789,0.3797106853227808
138,총지수,2007-06-01,68.4,0.03875298629723378,0.14520198767838494
139,총지수,2007-07-01,67.0,0.08728278423786939,0.9118758355787361
140,총지수,2007-08-01,66.1,0.05760347148225886,0.44300199148780645
141,총지수,2007-09-01,71.8,0.06472423940349614,0.5554958977855105
